,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Ростовская область,ростовский область,,,ростовский
1,Воронежская область ,воронежский область,,,воронежский
2,Белгородская область,белгородский область,,,белгородский
3,Курская область,курский область,,,курский
4,Брянская область ,брянский область,,,брянский
5,Краснодарский край,краснодарский край,,,краснодарский
