,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Ростовська область,ростовский область,,,ростовский
1,Воронезька область,воронезький область,,,воронезький
2,Бєлгородська область,бєлгородський область,,,бєлгородський
3,Курська область,курський область,,,курський
4,Брянська область,брянський область,,,брянський
5,Краснодарський край,краснодарський край,,,краснодарський
