,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Брестская область,брестский область,,,брестский
1,Витебская область ,витебский область,,,витебский
2,Гомельская область,гомельский область,,,гомельский
3,Гродненская область,гродненский область,,,гродненский
4,Минская область ,минский область,,,минский
5,Могилевская область,могилевский область,,,могилевский
