,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Брестська область,брестський область,,,брестський
1,Вітебська область,вітебський область,,,вітебський
2,Гомельська область,гомельський область,,,гомельський
3,Гродненська область,гродненський область,,,гродненський
4,Мінська область,мінський область,,,мінський
5,Могильовська область,могильовський область,,,могильовський
